,Unnamed: 0,rec_no,prime_id,replc,samptyp,rec_cnt,latitude,longitude,doelab,laslid,ornlid,srlid,lllid,site,state,quad,mapcode,fips,huc8,ls_map,study,phase,strbasin,b_lat_c,b_long_c,smpmedia,sampsrc,sedcond,sizefrxn,osamptyp,lsamptyp,ssamptyp,sedtreat,sampdat,samphr,sampler,grabs,weather,airtemp,wtrtemp,ph,cond,alk,o_diss,scin,orgn_pct,sampodor,smpcolr,sgeounit,rocktyp,rockclr,sedtype,sedcolr,strwdth,strwdthc,strdpth,strdpthc,wtrlevel,strflow,strflowc,wtrcolr,strchanl,vegtype,vegdens,relief,contamc,specms,tapedata,analdate,batch_es,asbatch,clbatch,po4batch,snbatch,hgbatch,ubatch_dn,ubatch_fl,ubatch_ms,ubatch_xx,u_xx_mthd,u_xx_ppm,u_dn_ppm,u_fl_ppm,u_ms_ppm,u_na_ppm,ag_ppm,al_pct,as_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,br_ppm,ca_pct,cd_ppm,ce_ppm,cl_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,eu_ppm,f_ppm,fe_pct,hf_ppm,hg_ppm,k_pct,la_ppm,li_ppm,lu_ppm,mg_pct,mn_ppm,mo_ppm,na_pct,nb_ppm,ni_ppm,p_ppm,pb_ppm,pt_ppm,rb_ppm,sb_ppm,sc_ppm,se_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,th_ppm,ti_ppm,v_ppm,w_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,po4_ppm,so4_ppm,methods,tapefile,reformat,coordprb,comments,comment2
10,1826,5267639,ALAU322S1,0,50,1,32.6289,-86.8541,SRL-E,,,ALAU322S1,,,AL,MONTGOMERY,NI1611,1001,3150201,33088NEB3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,10/4/1976,,73,5,SUNNY/CLEAR,,19,6,15,0.04,,,,,,,,,OTHER,OTHER,,> 32 FT,,> 32 FT,HIGH,,MODERATE,CLOUDY,UNKNOWN,DECIDUOUS,DENSE,LOW (0 - 15 M),,,,3/22/1979,,,,,,,,,,,,,5.4,,,,,,,-0.01,,,,,,,,79,,,,,,,-1,,2.35,45,,,39,,0.6,,,,,,,,,,,,5.9,,,,,,,18,,,,,5.4,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALAU022S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALAU022S1):",,
11,1827,5267640,ALAU370S1,0,50,1,32.4959,-86.6379,SRL-E,,,ALAU370S1,,,AL,MONTGOMERY,NI1611,1001,3150201,33088SEC1,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,10/4/1976,,73,5,SUNNY/CLEAR,,23,6,20,0.06,,,,,,,,,SAND,BROWN,,1 - 2 FT,,< 0.5 FT,LOW,,SLOW,CLEAR,UNKNOWN,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/22/1979,,,,,,,,,,,,,4.1,,,,,1.08,,-0.01,,,,,,,,77,,,,,,6.8,,,1.12,29,,,37,,0.9,,310,,0.02,,,,,,,,2.7,,8,,,,,11,5200,20,,,2.3,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALAU070S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALAU070S1):",,
12,2360,5276311,ALCL031S1,0,50,1,33.3361,-85.8545,SRL-E,,,ALCL031S1,,,AL,ATLANTA,NI1609,1027,3150106,34086SWB2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,7/17/1976,,11,5,OVERCAST,,20,6.7,28,0.18,,,,,,,,,SAND,WHITE/BUFF,,2 - 4 FT,,< 0.5 FT,NORMAL,,FAST,CLEAR,DEPOSITING,DECIDUOUS,DENSE,LOW (0 - 15 M),,,,2/23/1977,,,,,,,,,,,SR3-XU,0.4,9.9,,,,-0.1,1.45,,-0.01,,7,0.5,,,,,172,,,,,11,9.7,2,,2.54,32,,,66,11,0.6,,1100,-2,0.16,15,5,400,-10,,,,4.3,,44,-5,,,,28,9000,50,-2,,4.8,15,,,,"SR1, SR2, SR3-AA;CA;FE;XU",XG0223.22,SUPPL. DATA ADDED FROM XG0567.04 REC: SAME SRL NAA DATA IN XG0567.01 RECORD: GOLD VAL BASED ON GJBX-135(82):,,,
13,2399,5276350,ALCL090S1,0,50,1,33.2083,-85.773,SRL-E,,,ALCL090S1,,,AL,ATLANTA,NI1609,1027,3150109,34086SWB3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,7/10/1976,,9,5,SUNNY/CLEAR,,21,6.7,24,0.16,,,,,,,,,SAND,BROWN,,4 - 8 FT,,1 - 2 FT,NORMAL,,MODERATE,CLEAR,ERODING,BRUSH,MODERATE,LOW (0 - 15 M),,,,2/10/1981,,,,,,,,,,,SR3-XU,0.3,14,,,,0.2,8.59,1,-0.01,,47,1,,,,,136,,,,,7,14.2,-1,,7.72,50,,,65,26,-0.2,,1150,2,0.33,20,-5,200,10,,,,23.8,,11,-5,,,,35,18200,120,-2,,,12,,,,"SR1, SR2, SR3-AA;CA;FE;XU;XX",XG0223.22,SUPPL. DATA ADDED FROM XG0567.04 REC: SAME SRL NAA DATA IN XG0567.01 RECORD:SRL NAA DATA ADDED FROM XG0567.01:GOLD VAL BASED ON GJBX-135(82):,,,
14,2419,5276370,ALCL331S1,0,50,1,33.3361,-85.8545,SRL-E,,,ALCL331S1,,,AL,ATLANTA,NI1609,1027,3150106,34086SWB2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,9/6/1976,,72,5,OVERCAST,,19,7.3,29,0.14,,,,,,,,,SAND,BROWN,,4 - 8 FT,,< 0.5 FT,NORMAL,,MODERATE,CLEAR,DEPOSITING,DECIDUOUS,DENSE,GENTLE (15 - 60 M),,,,2/25/1977,,,,,,,,,,,SR3-XU,1.6,72.2,,,,0.2,2.2,2,-0.01,,22,0.5,,,,,1778,,,,,12,67,28,,7.35,175,,,635,10,9.8,,960,3,,45,5,1600,12,,,,6.1,,262,10,,,,316,11500,130,-2,,76.9,17,,,,"SR1, SR2, SR3-AA;CA;FE;XU;XX",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALCL031S1) SITE FOR QA/QC PURPOSES: SUPPL. DATA ADDED FROM XG0567.04 REC: GOLD VAL BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALCL031S1):",,
15,2420,5276371,ALCL390S1,0,50,1,33.2083,-85.773,SRL-E,,,ALCL390S1,,,AL,ATLANTA,NI1609,1027,3150109,34086SWB3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,9/5/1976,,72,5,OVERCAST,,21,7.5,25,0.1,,,,,,,,,PEBBLES,BROWN,,4 - 8 FT,,0.5 - 1 FT,LOW,,MODERATE,CLEAR,ERODING,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,2/25/1977,,,,,,,,,,,SR3-XU,0.3,2.4,,,,0.1,1.74,1,-0.01,,230,1,,,,,33,,,,,4,0.6,-1,,1.56,12,,,16,15,0.5,,150,-2,0.76,5,7,200,-10,,,,4,,6,-5,,,,8,,20,-2,,4.3,10,,,,"SR1, SR2, SR3-AA;CA;FE;XU;XX",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALCL090S1) SITE FOR QA/QC PURPOSES: SUPPL. DATA ADDED FROM XG0567.04 REC: GOLD VAL BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALCL090S1):",,
16,2668,5267092,ALSH053S1,0,50,1,33.3915,-86.6923,SRL-E,,,ALSH053S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEC1,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/1/1976,,17,6,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,DENSE,LOW (0 - 15 M),,,,3/21/1979,,,,,,,,,,,,,3,,,,,2.42,,-0.01,,,,,,,,60,,,,,,,-1,,1.65,10,,,15,,0.6,,1230,,0.02,,,,,,,,4.7,,3,,,,,7,2700,40,,,2.5,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.3925);LONG(-86.6897):,,
17,2674,5267098,ALSH060S1,0,50,1,33.3135,-86.7038,SRL-E,,,ALSH060S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEC2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/1/1976,,17,6,OVERCAST,,,,,,,,,,,,,,SAND,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,MODERATE,LOW (0 - 15 M),,,,3/21/1979,,,,,,,,,,,,,2.1,,,,,1.02,,-0.01,,,,,,,,20,,,,,,3.3,,,0.68,24,,,22,,-0.7,,170,,0.04,,,,,,,,1.6,,2,,,,,5,3100,20,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.3236);LONG(-86.6938):,,
18,2675,5267099,ALSH061S1,0,50,1,33.2152,-86.7857,SRL-E,,,ALSH061S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEB3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,26,5,SUNNY/CLEAR,,,,,,,,,,,,,,COBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,ERODING,DECIDUOUS,DENSE,LOW (0 - 15 M),,,,3/21/1979,,,,,,,,,,,,,1.7,,,,,1.88,,-0.01,,,,,,,,24,,,,,,7.8,-1,,1.38,10,,,13,,0.5,,1300,,0.08,,,,,,,,3.1,,2,,,,,6,2800,40,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2331);LONG(-86.7693):,,
19,2676,5267100,ALSH062S1,0,50,1,33.2231,-86.7454,SRL-E,,,ALSH062S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SEC3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,26,6,SUNNY/CLEAR,,,,,,,,,,,,,,SAND,ORANGE,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,SPARSE,MODERATE (60 - 120 M),,,,3/21/1979,,,,,,,,,,,,,1.7,,,,,1.01,,-0.01,,,,,,,,-20,,,,,,1.9,,,0.67,12,,,8,,0.2,,170,,0.07,,,,,,,,2.7,,1,,,,,6,2200,20,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2429);LONG(-86.7276):,,
20,2680,5267104,ALSH066S1,0,50,1,33.2281,-86.6927,SRL-E,,,ALSH066S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SEC3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/3/1976,,31,7,SUNNY/CLEAR,,,,,,,,,,,,,,SAND,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/21/1979,,,,,,,,,,,,,2,,,,,2.19,,-0.01,,,,,,,,12,,,,,,4.3,-1,,1.61,12,,,10,,0.4,,270,,0.04,,,,,,,,2.5,,1,,,,,7,2800,40,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2502);LONG(-86.6729):,,
21,2691,5267115,ALSH080S1,0,50,1,33.2552,-86.5807,SRL-E,,,ALSH080S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/3/1976,,31,5,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,2.2,,,,,3.43,,-0.01,,,,,,,,67,,,,,,3.9,-1,,2.8,8,,,21,,0.2,,200,,0.11,,,,,,,,7.4,,5,,,,,7,3400,60,,,2.8,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2811);LONG(-86.5567):,,
22,2692,5267116,ALSH081S1,0,50,1,33.2618,-86.5542,SRL-E,,,ALSH081S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,31,5,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,MODERATE,LOW (0 - 15 M),UNKNOWN,,,3/20/1979,,,,,,,,,,,,,3,,,,,2.22,,-0.01,,,,,,,,32,,,,,,4.2,-1,,1.57,11,,,16,,-0.2,,200,,0.06,,,,,,,,6.5,,3,,,,,6,3300,40,,,,,,,,"SR1, SR2",XG0567.01,CONTAMC(UNKNOWN) IS PROBABLY RESIDENTIAL OR RECREATIONAL: GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2885);LONG(-86.5296):,,
